iter	Logloss
0	0.6887381222
1	0.6853053426
2	0.6824019666
3	0.6781265917
4	0.6747110776
5	0.6717446392
6	0.6675504832
7	0.6646096602
8	0.6620193552
9	0.6586014783
10	0.6571378003
11	0.6549425034
12	0.6527125451
13	0.6510757942
14	0.6494542925
15	0.6483263634
16	0.6465431373
17	0.6451203633
18	0.6440075704
19	0.6431728627
20	0.641239215
21	0.6402946716
22	0.6387909015
23	0.6372789308
24	0.6358157805
25	0.6346104041
26	0.6332985615
27	0.6315234499
28	0.6307509909
29	0.6298986264
30	0.6284041568
31	0.6281043867
32	0.6274818653
33	0.6267130048
34	0.6256967705
35	0.6245836876
36	0.6235585477
37	0.6225661011
38	0.6217573725
39	0.6208186884
40	0.6201805172
41	0.620050427
42	0.6194463493
43	0.6182959049
44	0.6174394947
45	0.6173238358
46	0.616651989
47	0.6163083107
48	0.6159919125
49	0.6153180963
50	0.6144758173
51	0.6137635058
52	0.6134744385
53	0.6129716226
54	0.6124351022
55	0.6119525168
56	0.6115929404
57	0.6114723656
58	0.6110955066
59	0.6102333203
60	0.6096211008
61	0.6093412044
62	0.6089436637
63	0.6081218869
64	0.6077710007
65	0.6075091713
66	0.6070015639
67	0.6066104499
68	0.6062160926
69	0.6058498347
70	0.6055207479
71	0.6052677049
