iter	Passed	Remaining
0	56	56850
1	106	53364
2	135	45019
3	191	47762
4	245	48903
5	303	50328
6	358	50883
7	413	51279
8	472	52056
9	528	52285
10	567	50986
11	622	51237
12	678	51541
13	735	51831
14	788	51799
15	847	52150
16	904	52313
17	963	52547
18	1044	53949
19	1086	53233
20	1151	53669
21	1205	53586
22	1266	53816
23	1333	54216
24	1393	54355
25	1452	54396
26	1510	54442
27	1566	54388
28	1628	54523
29	1675	54172
30	1735	54245
31	1767	53458
32	1821	53373
33	1877	53354
34	1935	53362
35	1993	53387
36	2051	53381
37	2106	53331
38	2167	53406
39	2227	53452
40	2287	53495
41	2308	52660
42	2366	52665
43	2420	52597
44	2477	52583
45	2498	51826
46	2560	51910
47	2616	51895
48	2673	51885
49	2732	51908
50	2788	51887
51	2844	51862
52	2892	51690
53	2950	51691
54	3010	51724
55	3064	51653
56	3122	51663
57	3172	51518
58	3226	51462
59	3284	51451
60	3341	51431
61	3400	51447
62	3459	51456
63	3516	51428
64	3579	51484
65	3608	51065
66	3668	51087
67	3723	51031
68	3778	50987
69	3834	50943
70	3893	50947
71	3925	50594
